0,0
1,1
2,1
3,3
4,3
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,3
14,3
15,3
16,2
17,3
18,3
19,3
20,3
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,3
34,3
35,3
36,3
37,1
38,1
39,1
40,1
41,1
42,1
43,2
44,1
45,2
46,3
47,2
48,2
49,1
50,3
51,3
52,3
53,1
54,1
55,1
56,1
57,1
58,2
59,2
60,1
61,1
62,2
63,1
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,1
72,2
73,2
74,2
75,2
76,1
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,2
89,2
90,2
91,2
92,1
93,1
94,1
95,1
96,3
97,3
98,2
99,2
100,1
101,2
102,3
103,2
104,1
105,1
